 CH2CO                                                  CHCO       H                                            0.449E-06  0.000E+00  0.437E+05  0.200E+01  0.100E+03  4.000e-01  7.500e-01  1.500e+00  6.500e+00  3.000e+00  1.000e+00  3.000e+00  3.500e-01  4.000e-01  3.500e-01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 NO                                                     N4S        O3P                                          0.160E-08  0.000E+00  0.746E+05  0.200E+01  0.100E+03  1.000e+00  1.000e+00  2.500e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.500e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  3.000e+00  1.000e+00
 N2                                                     N4S        N4S                                          0.937E-04 -0.333E+01  0.113E+06  0.200E+01  0.100E+03  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  2.200e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  5.000e+00
 NNH                                                    N2         H                                            0.288E-09  0.500E+00  0.154E+04  0.200E+01  0.100E+03  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 N2H2                                                   NNH        H                                            0.831E-07  0.000E+00  0.251E+05  0.200E+01  0.100E+03  2.000e+00  1.000e+00  1.000e+00  1.500e+01  1.000e+00  2.000e+00  1.000e+00  1.000e+00  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 N2H2                                                   NH         NH                                           0.525E-07  0.000E+00  0.500E+05  0.200E+01  0.100E+03  2.000e+00  1.000e+00  1.000e+00  1.500e+01  1.000e+00  2.000e+00  1.000e+00  1.000e+00  2.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 N2H4                                                   N2H3       H                                            0.166E-08  0.000E+00  0.320E+05  0.200E+01  0.100E+03  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  2.400e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  3.000e+00  4.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 H2NO                                                   H2         NO                                           0.307E-06 -0.429E+01  0.303E+05  0.200E+01  0.100E+03  1.000e+00  1.000e+00  1.000e+00  1.000e+01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 H2NO                                                   HNO        H                                            0.454E-06 -0.283E+01  0.326E+05  0.200E+01  0.100E+03  1.000e+00  1.000e+00  1.000e+00  1.000e+01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 HNOH                                                   HNO        H                                            0.306E-06 -0.284E+01  0.296E+05  0.200E+01  0.100E+03  1.000e+00  1.000e+00  1.000e+00  1.000e+01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 HNCO                                                   NH         CO                                           0.183E-07  0.000E+00  0.432E+05  0.200E+01  0.100E+03  1.500e+00  1.000e+00  1.000e+00  1.860e+01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.500e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 HON                                                    NO         H                                            0.521E-08 -0.170E+01  0.807E+04  0.200E+01  0.100E+03  1.000e+00  1.000e+00  2.000e+00  7.000e+00  1.000e+00  1.000e+00  1.000e+00  7.000e-01  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
 C2N2                                                   CN         CN                                           0.407E+00 -0.430E+01  0.654E+05  0.200E+01  0.100E+03  1.500e+00  1.000e+00  3.000e+00  1.000e+01  1.000e+00  1.500e+00  1.000e+00  1.000e+00  1.500e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00  1.000e+00
